start	end	NodeId	nTxBursts	TxBytes	nRxBursts	RxBytes	delay	stdDev	min	max	
0.1	0.2	1	1	206196	1	206196	2.70846e+07	0	2.70846e+07	2.70846e+07	
0.2	0.3	1	1	204269	1	204269	3.45294e+07	0	3.45294e+07	3.45294e+07	
0.3	0.4	1	1	203771	1	203771	3.43376e+07	0	3.43376e+07	3.43376e+07	
0.4	0.5	1	1	201918	1	201918	3.4336e+07	0	3.4336e+07	3.4336e+07	
0.5	0.6	1	1	201050	1	201050	3.43352e+07	0	3.43352e+07	3.43352e+07	
0.6	0.7	1	1	201338	1	201338	2.68355e+07	0	2.68355e+07	2.68355e+07	
0.7	0.8	1	1	200068	1	200068	3.43344e+07	0	3.43344e+07	3.43344e+07	
0.8	0.9	1	1	198207	1	198207	3.41542e+07	0	3.41542e+07	3.41542e+07	
0.9	1	1	1	196771	1	196771	3.40866e+07	0	3.40866e+07	3.40866e+07	
1	1.1	1	1	195814	1	195814	3.40858e+07	0	3.40858e+07	3.40858e+07	
1.1	1.2	1	1	196353	1	196353	2.65863e+07	0	2.65863e+07	2.65863e+07	
1.2	1.3	1	1	196230	1	196230	3.40862e+07	0	3.40862e+07	3.40862e+07	
1.3	1.4	1	1	196409	1	196409	3.40863e+07	0	3.40863e+07	3.40863e+07	
1.4	1.5	1	1	197588	1	197588	3.40873e+07	0	3.40873e+07	3.40873e+07	
1.5	1.6	1	1	197149	1	197149	3.4087e+07	0	3.4087e+07	3.4087e+07	
1.6	1.7	1	1	197859	1	197859	2.65876e+07	0	2.65876e+07	2.65876e+07	
1.7	1.8	1	1	195562	1	195562	3.40856e+07	0	3.40856e+07	3.40856e+07	
1.8	1.9	1	1	196343	1	196343	3.40863e+07	0	3.40863e+07	3.40863e+07	
1.9	2	1	1	197850	1	197850	5.1886e+07	0	5.1886e+07	5.1886e+07	
2	2.1	1	1	199050	1	199050	3.43335e+07	0	3.43335e+07	3.43335e+07	
2.1	2.2	1	1	199787	1	199787	2.68342e+07	0	2.68342e+07	2.68342e+07	
2.2	2.3	1	1	200573	1	200573	3.43348e+07	0	3.43348e+07	3.43348e+07	
2.3	2.4	1	1	201093	1	201093	3.43353e+07	0	3.43353e+07	3.43353e+07	
2.4	2.5	1	1	200200	1	200200	3.43345e+07	0	3.43345e+07	3.43345e+07	
2.5	2.6	1	1	202218	1	202218	3.43363e+07	0	3.43363e+07	3.43363e+07	
2.6	2.7	1	1	200464	1	200464	2.68347e+07	0	2.68347e+07	2.68347e+07	
2.7	2.8	1	1	199639	1	199639	3.4334e+07	0	3.4334e+07	3.4334e+07	
2.8	2.9	1	1	197997	1	197997	3.4154e+07	0	3.4154e+07	3.4154e+07	
2.9	3	1	1	195832	1	195832	3.40858e+07	0	3.40858e+07	3.40858e+07	
3	3.1	1	1	193353	1	193353	3.40837e+07	0	3.40837e+07	3.40837e+07	
3.1	3.2	1	1	191012	1	191012	2.63367e+07	0	2.63367e+07	2.63367e+07	
3.2	3.3	1	1	190127	1	190127	3.38191e+07	0	3.38191e+07	3.38191e+07	
3.3	3.4	1	1	188909	1	188909	3.38181e+07	0	3.38181e+07	3.38181e+07	
3.4	3.5	1	1	187720	1	187720	3.3817e+07	0	3.3817e+07	3.3817e+07	
3.5	3.6	1	1	186944	1	186944	3.38164e+07	0	3.38164e+07	3.38164e+07	
3.6	3.7	1	1	185963	1	185963	2.60874e+07	0	2.60874e+07	2.60874e+07	
3.7	3.8	1	1	185754	1	185754	3.38154e+07	0	3.38154e+07	3.38154e+07	
3.8	3.9	1	1	184386	1	184386	3.35871e+07	0	3.35871e+07	3.35871e+07	
3.9	4	1	1	183562	1	183562	3.35328e+07	0	3.35328e+07	3.35328e+07	
4	4.1	1	1	182723	1	182723	3.35321e+07	0	3.35321e+07	3.35321e+07	
4.1	4.2	1	1	182676	1	182676	2.60846e+07	0	2.60846e+07	2.60846e+07	
4.2	4.3	1	1	181382	1	181382	3.35309e+07	0	3.35309e+07	3.35309e+07	
4.3	4.4	1	1	179945	1	179945	3.35297e+07	0	3.35297e+07	3.35297e+07	
4.4	4.5	1	1	177967	1	177967	3.33366e+07	0	3.33366e+07	3.33366e+07	
4.5	4.6	1	1	176174	1	176174	3.35315e+07	0	3.35315e+07	3.35315e+07	
4.6	4.7	1	1	172674	1	172674	2.55871e+07	0	2.55871e+07	2.55871e+07	
4.7	4.8	1	1	170929	1	170929	3.30678e+07	0	3.30678e+07	3.30678e+07	
4.8	4.9	1	1	172746	1	172746	3.30694e+07	0	3.30694e+07	3.30694e+07	
4.9	5	1	1	175153	1	175153	3.32806e+07	0	3.32806e+07	3.32806e+07	
5	5.1	1	1	176970	1	176970	3.32822e+07	0	3.32822e+07	3.32822e+07	
5.1	5.2	1	1	180292	1	180292	2.60825e+07	0	2.60825e+07	2.60825e+07	
5.2	5.3	1	1	182379	1	182379	3.35318e+07	0	3.35318e+07	3.35318e+07	
5.3	5.4	1	1	184046	1	184046	3.35868e+07	0	3.35868e+07	3.35868e+07	
5.4	5.5	1	1	185062	1	185062	3.35877e+07	0	3.35877e+07	3.35877e+07	
5.5	5.6	1	1	186695	1	186695	3.38162e+07	0	3.38162e+07	3.38162e+07	
5.6	5.7	1	1	188397	1	188397	2.63345e+07	0	2.63345e+07	2.63345e+07	
5.7	5.8	1	1	189432	1	189432	3.38364e+07	0	3.38364e+07	3.38364e+07	
5.8	5.9	1	1	189641	1	189641	3.44764e+07	0	3.44764e+07	3.44764e+07	
5.9	6	1	1	190661	1	190661	5.18859e+07	0	5.18859e+07	5.18859e+07	
6	6.1	1	1	191529	1	191529	3.40841e+07	0	3.40841e+07	3.40841e+07	
6.1	6.2	1	1	191290	1	191290	2.70839e+07	0	2.70839e+07	2.70839e+07	
6.2	6.3	1	1	190496	1	190496	3.49593e+07	0	3.49593e+07	3.49593e+07	
6.3	6.4	1	1	189990	1	189990	3.4318e+07	0	3.4318e+07	3.4318e+07	
